127.0.0.1 - - [05/Mar/2023:08:21:56 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Mar/2023:08:21:56 +0530] "GET /college_dynamic_project/NewFile.jsp HTTP/1.1" 200 844
0:0:0:0:0:0:0:1 - - [05/Mar/2023:08:22:00 +0530] "POST /college_dynamic_project/response.jsp HTTP/1.1" 200 562
0:0:0:0:0:0:0:1 - - [05/Mar/2023:08:22:07 +0530] "POST /college_dynamic_project/response.jsp HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [05/Mar/2023:08:22:19 +0530] "POST /college_dynamic_project/response.jsp HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [05/Mar/2023:08:22:23 +0530] "GET /college_dynamic_project/NewFile.jsp HTTP/1.1" 200 844
0:0:0:0:0:0:0:1 - - [05/Mar/2023:08:22:36 +0530] "GET /college_dynamic_project/NewFile.jsp HTTP/1.1" 200 844
0:0:0:0:0:0:0:1 - - [05/Mar/2023:08:22:36 +0530] "GET /college_dynamic_project/NewFile.css HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [05/Mar/2023:08:22:39 +0530] "POST /college_dynamic_project/response.jsp HTTP/1.1" 200 562
